,cost,name,damage,text,id
818,"['P', 'P', 'C']",Shadow Bind,150,"During your opponent's next turn, the Defending Pokemon can't retreat.",68af81d6c4f780b5153e59e2
819,"['P', 'P', 'C']",Shadow Bind,150,"During your opponent's next turn, the Defending Pokemon can't retreat.",68af81d6c4f780b5153e59e5
820,"['P', 'P']",Will-O-Wisp,50,,68af81d6c4f780b5153e59dc
821,"['P', 'P']",Will-O-Wisp,50,,68af81d6c4f780b5153e59d6
822,"['P', 'P']",Will-O-Wisp,50,,68af81d6c4f780b5153e59d9
823,"['P', 'P']",Mumble,30,,68af81d6c4f780b5153e59d0
824,"['P', 'P']",Mumble,30,,68af81d6c4f780b5153e59cd
825,"['P', 'P']",Mumble,30,,68af81d6c4f780b5153e59d3
826,"['P', 'C', 'C']",Psych Out,160,Discard a random card from your opponent's hand.,68af81d6c4f780b5153e59ca
827,['P'],Psychic Assault,30+,This attack does 10 more damage for each damage counter on your opponent's Active Pokemon.,68af81d6c4f780b5153e59c1
828,"['P', 'C']",Psy Bolt,60,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",68af81d6c4f780b5153e59c1
829,['P'],Psychic Assault,30+,This attack does 10 more damage for each damage counter on your opponent's Active Pokemon.,68af81d6c4f780b5153e59c7
830,"['P', 'C']",Psy Bolt,60,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",68af81d6c4f780b5153e59c7
831,['P'],Psychic Assault,30+,This attack does 10 more damage for each damage counter on your opponent's Active Pokemon.,68af81d6c4f780b5153e59c4
832,"['P', 'C']",Psy Bolt,60,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",68af81d6c4f780b5153e59c4
833,"['L', 'C', 'C']",Volt Cyclone,140,Move an Energy from this Pokemon to 1 of your Benched Pokemon.,68af81d5c4f780b5153e59be
834,"['L', 'L', 'C']",Arm Press,160,,68af81d5c4f780b5153e59bb
835,"['L', 'C', 'C', 'C']",Amp You Very Much,120,"If your opponent's Pokemon is Knocked Out by damage from this attack, take 1 more Prize card.",68af81d5c4f780b5153e59bb
836,"['L', 'C']",Flashing Spear,60+,You may discard up to 2 Basic Energy from your Benched Pokemon. This attack does 90 more damage for each card you discarded in this way.,68af81d5c4f780b5153e59b8
837,"['R', 'W', 'L']",Dravite,280,"During your next turn, this Pokemon can't attack.",68af81d5c4f780b5153e59b8
838,['L'],Linear Attack This attack does 30 damage to 1 of your opponent's Pokemon.,Don't apply Weakness and Resistance for Benched Pokemon.,,68af81d5c4f780b5153e59af
839,"['L', 'C', 'C']",Fighting Lightning,90+,"If your opponent's Active Pokemon is a Pokemon ex or Pokemon V, this attack does 90 more damage.",68af81d5c4f780b5153e59af
840,['L'],Linear Attack This attack does 30 damage to 1 of your opponent's Pokemon.,Don't apply Weakness and Resistance for Benched Pokemon.,,68af81d5c4f780b5153e59b2
841,"['L', 'C', 'C']",Fighting Lightning,90+,"If your opponent's Active Pokemon is a Pokemon ex or Pokemon V, this attack does 90 more damage.",68af81d5c4f780b5153e59b2
842,['L'],Linear Attack This attack does 30 damage to 1 of your opponent's Pokemon.,Don't apply Weakness and Resistance for Benched Pokemon.,,68af81d5c4f780b5153e59b5
843,"['L', 'C', 'C']",Fighting Lightning,90+,"If your opponent's Active Pokemon is a Pokemon ex or Pokemon V, this attack does 90 more damage.",68af81d5c4f780b5153e59b5
844,['C'],Tail Whap,30,,68af81d5c4f780b5153e59ac
845,"['L', 'L', 'C']",Thunder,220,This Pokemon also does 30 damage to itself.,68af81d5c4f780b5153e59ac
846,['C'],Sob,20,"During your opponent's next turn, the Defending Pokemon can't retreat.",68af81d5c4f780b5153e59a9
847,"['W', 'C', 'C']",Torrential Pump,100,"You may shuffle 3 Energy attached to this Pokemon into your deck. If you do, this attack also does 120 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)",68af81d5c4f780b5153e59a9
848,"['W', 'C']",Frost Bullet,110,This attack also does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.),68af81d5c4f780b5153e59a3
849,"['W', 'C']",Frost Bullet,110,This attack also does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.),68af81d5c4f780b5153e59a6
850,['W'],Permeating Chill,30,"At the end of your opponent's next turn, put 9 damage counters on the Defending Pokemon.",68af81d5c4f780b5153e599a
851,"['W', 'C']",Icicle Missile,70,,68af81d5c4f780b5153e599a
852,['W'],Permeating Chill,30,"At the end of your opponent's next turn, put 9 damage counters on the Defending Pokemon.",68af81d5c4f780b5153e59a0
853,"['W', 'C']",Icicle Missile,70,,68af81d5c4f780b5153e59a0
854,['W'],Permeating Chill,30,"At the end of your opponent's next turn, put 9 damage counters on the Defending Pokemon.",68af81d5c4f780b5153e599d
855,"['W', 'C']",Icicle Missile,70,,68af81d5c4f780b5153e599d
856,"['C', 'C']",Overrun,30,This attack also does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.),68af81d5c4f780b5153e5994
857,"['W', 'W', 'C']",Aurora Beam,100,,68af81d5c4f780b5153e5994
858,"['C', 'C']",Overrun,30,This attack also does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.),68af81d5c4f780b5153e5997
859,"['W', 'W', 'C']",Aurora Beam,100,,68af81d5c4f780b5153e5997
860,"['C', 'C']",Overrun,30,This attack also does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.),68af81d5c4f780b5153e5991
861,"['W', 'W', 'C']",Aurora Beam,100,,68af81d5c4f780b5153e5991
862,"['R', 'W', 'L']",Aquamarine,280,"During your next turn, this Pokemon can't attack.",68af81d5c4f780b5153e598e
863,['W'],Spiral Drain,30,Heal 30 damage from this Pokemon.,68af81d5c4f780b5153e5985
864,"['W', 'C', 'C']",Fighting Whirlpool,90+,"If your opponent's Active Pokemon is a Pokemon ex or Pokemon V, this attack does 90 more damage.",68af81d5c4f780b5153e5985
865,['W'],Spiral Drain,30,Heal 30 damage from this Pokemon.,68af81d5c4f780b5153e598b
866,"['W', 'C', 'C']",Fighting Whirlpool,90+,"If your opponent's Active Pokemon is a Pokemon ex or Pokemon V, this attack does 90 more damage.",68af81d5c4f780b5153e598b
867,['W'],Spiral Drain,30,Heal 30 damage from this Pokemon.,68af81d5c4f780b5153e5988
868,"['W', 'C', 'C']",Fighting Whirlpool,90+,"If your opponent's Active Pokemon is a Pokemon ex or Pokemon V, this attack does 90 more damage.",68af81d5c4f780b5153e5988
869,['C'],Rapid Draw,60,Draw 2 cards.,68af81d5c4f780b5153e597c
870,['C'],Rapid Draw,60,Draw 2 cards.,68af81d5c4f780b5153e597f
871,['C'],Rapid Draw,60,Draw 2 cards.,68af81d5c4f780b5153e5982
872,"['C', 'C']",Whirlpool,10,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.",68af81d4c4f780b5153e5973
873,"['C', 'C']",Whirlpool,10,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.",68af81d5c4f780b5153e5979
874,"['C', 'C']",Whirlpool,10,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.",68af81d5c4f780b5153e5976
875,"['W', 'C', 'C']",Wash the Slate Clean,70,You may put 2 Energy attached to your opponent's Active Pokemon into their hand.,68af81d4c4f780b5153e596a
876,"['W', 'C', 'C']",Wash the Slate Clean,70,You may put 2 Energy attached to your opponent's Active Pokemon into their hand.,68af81d4c4f780b5153e596d
877,"['W', 'C', 'C']",Wash the Slate Clean,70,You may put 2 Energy attached to your opponent's Active Pokemon into their hand.,68af81d4c4f780b5153e5970
878,['W'],Water Gun,10,,68af81d4c4f780b5153e5964
879,"['W', 'C']",Tail Whap,30,,68af81d4c4f780b5153e5964
880,['W'],Water Gun,10,,68af81d4c4f780b5153e5961
881,"['W', 'C']",Tail Whap,30,,68af81d4c4f780b5153e5961
882,['W'],Water Gun,10,,68af81d4c4f780b5153e5967
883,"['W', 'C']",Tail Whap,30,,68af81d4c4f780b5153e5967
884,"['R', 'C', 'C']",Wrathful Hearth,20x,This attack does 20 damage for each damage counter on this Pokemon.,68af81d4c4f780b5153e595e
885,"['R', 'R', 'R']",Dynamic Blaze,140+,"If your opponent's Active Pokemon is an Evolution Pokemon, this attack does 140 more damage, and discard all Energy from this Pokemon.",68af81d4c4f780b5153e595e
886,"['R', 'C']",Fire Mane,50,,68af81d4c4f780b5153e595b
887,"['R', 'R', 'C']",Flame Tackle,160,"During your next turn, this Pokemon can't attack.",68af81d4c4f780b5153e595b
888,"['R', 'C']",Fire Mane,50,,68af81d4c4f780b5153e5955
889,"['R', 'R', 'C']",Flame Tackle,160,"During your next turn, this Pokemon can't attack.",68af81d4c4f780b5153e5955
890,"['R', 'C']",Fire Mane,50,,68af81d4c4f780b5153e5958
891,"['R', 'R', 'C']",Flame Tackle,160,"During your next turn, this Pokemon can't attack.",68af81d4c4f780b5153e5958
892,['R'],Combustion,10,,68af81d4c4f780b5153e594f
893,"['R', 'R', 'C']",Headbutt,50,,68af81d4c4f780b5153e594f
894,['R'],Combustion,10,,68af81d4c4f780b5153e594c
895,"['R', 'R', 'C']",Headbutt,50,,68af81d4c4f780b5153e594c
896,['R'],Combustion,10,,68af81d4c4f780b5153e5952
897,"['R', 'R', 'C']",Headbutt,50,,68af81d4c4f780b5153e5952
898,"['R', 'C']",Burning Charge,130,"Search your deck for up to 2 Basic Energy cards and attach them to 1 of your Pokemon. Then, shuffle your deck.",68af81d4c4f780b5153e5949
899,"['R', 'W', 'L']",Carnelian,280,"During your next turn, this Pokemon can't attack.",68af81d4c4f780b5153e5949
900,['R'],Destructive Flame,30,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.",68af81d4c4f780b5153e5943
901,"['R', 'C', 'C']",Fighting Blaze,90+,"If your opponent's Active Pokemon is a Pokemon ex or Pokemon V, this attack does 90 more damage.",68af81d4c4f780b5153e5943
902,['R'],Destructive Flame,30,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.",68af81d4c4f780b5153e5940
903,"['R', 'C', 'C']",Fighting Blaze,90+,"If your opponent's Active Pokemon is a Pokemon ex or Pokemon V, this attack does 90 more damage.",68af81d4c4f780b5153e5940
904,['R'],Destructive Flame,30,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.",68af81d4c4f780b5153e5946
905,"['R', 'C', 'C']",Fighting Blaze,90+,"If your opponent's Active Pokemon is a Pokemon ex or Pokemon V, this attack does 90 more damage.",68af81d4c4f780b5153e5946
906,"['G', 'G', 'G']",Myriad Leaf Shower,30+,This attack does 30 more damage for each Energy attached to both Active Pokemon.,68af81d4c4f780b5153e593d
907,"['C', 'C']",Syrup Storm,30+,This attack does 30 more damage for each Grass Energy attached to all of your Pokemon.,68af81d4c4f780b5153e593a
908,['G'],Do the Wave,20x,This attack does 20 damage for each of your Benched Pokemon.,68af81d3c4f780b5153e5931
909,['G'],Do the Wave,20x,This attack does 20 damage for each of your Benched Pokemon.,68af81d3c4f780b5153e5934
910,['G'],Do the Wave,20x,This attack does 20 damage for each of your Benched Pokemon.,68af81d3c4f780b5153e5937
911,['G'],Spray Fluid,20,,68af81d3c4f780b5153e592b
912,['G'],Spray Fluid,20,,68af81d3c4f780b5153e592e
913,['G'],Spray Fluid,20,,68af81d3c4f780b5153e5928
914,['G'],Seed Bomb,40,,68af81d3c4f780b5153e591f
915,['G'],Seed Bomb,40,,68af81d3c4f780b5153e5922
916,['G'],Seed Bomb,40,,68af81d3c4f780b5153e5925
917,['G'],Triple Spin,10x,Flip 3 coins. This attack does 10 damage for each heads.,68af81d3c4f780b5153e591c
918,['G'],Triple Spin,10x,Flip 3 coins. This attack does 10 damage for each heads.,68af81d3c4f780b5153e5916
919,['G'],Triple Spin,10x,Flip 3 coins. This attack does 10 damage for each heads.,68af81d3c4f780b5153e5919
920,"['G', 'C']",Verdant Storm,60x,This attack does 60 damage for each Energy attached to all of your opponent's Pokemon.,68af81d3c4f780b5153e5913
921,"['G', 'R', 'W']",Moss Agate,230,Heal 100 damage from each of your Benched Pokemon.,68af81d3c4f780b5153e5913
922,"['G', 'C']",Solar Beam,70,,68af81d3c4f780b5153e590a
923,"['G', 'C']",Solar Beam,70,,68af81d3c4f780b5153e5910
924,"['G', 'C']",Solar Beam,70,,68af81d3c4f780b5153e590d
925,['0'],Itchy Pollen,10,"During your opponent's next turn, they can't play any Item cards from their hand.",68af81d3c4f780b5153e5904
926,['0'],Itchy Pollen,10,"During your opponent's next turn, they can't play any Item cards from their hand.",68af81d3c4f780b5153e5907
927,['0'],Itchy Pollen,10,"During your opponent's next turn, they can't play any Item cards from their hand.",68af81d3c4f780b5153e5901
928,"['G', 'C']",Slash,60,,68af81d3c4f780b5153e58fe
929,"['G', 'C']",Slash,60,,68af81d3c4f780b5153e58fb
930,"['G', 'C']",Slash,60,,68af81d3c4f780b5153e58f8
931,"['G', 'C']",Mega Drain,50,Heal 30 damage from this Pokemon.,68af81d3c4f780b5153e58f5
932,"['G', 'G', 'C']",Solar Beam,130,,68af81d3c4f780b5153e58f5
933,"['G', 'C']",Mega Drain,50,Heal 30 damage from this Pokemon.,68af81d3c4f780b5153e58f2
934,"['G', 'G', 'C']",Solar Beam,130,,68af81d3c4f780b5153e58f2
935,"['G', 'C']",Mega Drain,50,Heal 30 damage from this Pokemon.,68af81d2c4f780b5153e58ef
936,"['G', 'G', 'C']",Solar Beam,130,,68af81d2c4f780b5153e58ef
937,"['G', 'C']",Ram,30,,68af81d2c4f780b5153e58ec
938,"['G', 'C']",Ram,30,,68af81d2c4f780b5153e58e6
939,"['G', 'C']",Ram,30,,68af81d2c4f780b5153e58e9
940,"['G', 'W']",Tropical Frenzy,150,You may attach any number of Basic Energy cards from your hand to your Pokemon in any way you like.,68af81ecc4f780b5153e5d0a
941,"['G', 'L', 'M']",Topaz Bolt,300,Discard 3 Energy from this Pokemon.,68af81edc4f780b5153e5d0d
942,"['G', 'W']",Tropical Frenzy,150,You may attach any number of Basic Energy cards from your hand to your Pokemon in any way you like.,68af81edc4f780b5153e5d1c
943,"['M', 'M', 'M']",Metal Defender,220,"During your opponent's next turn, this Pokemon has no Weakness.",68af81edc4f780b5153e5d1f
944,"['D', 'C']",Crashing Headbutt,200,Discard the top 3 cards of your opponent's deck.,68af81edc4f780b5153e5d22
945,"['P', 'D', 'M', 'C']",Obsidian,130,This attack also does 130 damage to 2 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.),68af81edc4f780b5153e5d22
946,"['G', 'L', 'M']",Topaz Bolt,300,Discard 3 Energy from this Pokemon.,68af81edc4f780b5153e5d28
947,"['W', 'C', 'C']",Hypno Splash,160,Your opponent's Active Pokemon is now Asleep.,68af81edc4f780b5153e5d2b
948,"['G', 'C', 'C']",Vengeful Crush,120+,This attack does 30 more damage for each Prize card your opponent has taken.,68af81edc4f780b5153e5d2e
949,"['C', 'C', 'C']",Break Through,130,This attack also does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.),68af81edc4f780b5153e5d46
950,"['G', 'R', 'P']",Zircon Road,180,You may draw 5 cards.,68af81edc4f780b5153e5d46
951,"['C', 'C']",Great Swing,280,Discard an Energy from this Pokemon.,68af81edc4f780b5153e5d49
952,"['R', 'W']",Surprise Pump,100,This attack's damage isn't affected by any effects on your opponent's Active Pokemon.,68af81edc4f780b5153e5d4c
953,"['G', 'W']",Tropical Frenzy,150,You may attach any number of Basic Energy cards from your hand to your Pokemon in any way you like.,68af81edc4f780b5153e5d4f
954,"['M', 'M', 'M']",Metal Defender,220,"During your opponent's next turn, this Pokemon has no Weakness.",68af81edc4f780b5153e5d52
955,"['D', 'C']",Crashing Headbutt,200,Discard the top 3 cards of your opponent's deck.,68af81edc4f780b5153e5d55
956,"['P', 'D', 'M', 'C']",Obsidian,130,This attack also does 130 damage to 2 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.),68af81edc4f780b5153e5d55
957,['F'],Reversing Storm,130,You may switch this Pokemon with 1 of your Benched Pokemon.,68af81edc4f780b5153e5d58
958,"['C', 'C', 'C']",Sand Tomb,160,"During your opponent's next turn, the Defending Pokemon can't retreat.",68af81eec4f780b5153e5d5b
959,"['P', 'P', 'C']",Eon Blade,200,"During your next turn, this Pokemon can't attack.",68af81eec4f780b5153e5d5e
960,"['G', 'L', 'M']",Topaz Bolt,300,Discard 3 Energy from this Pokemon.,68af81eec4f780b5153e5d61
961,"['C', 'C', 'C']",Ice Age,90,"If your opponent's Active Pokemon is a Dragon Pokemon, it is now Paralyzed.",68af81eec4f780b5153e5d64
962,"['W', 'W', 'C', 'C']",Black Frost,250,This Pokemon also does 30 damage to itself.,68af81eec4f780b5153e5d64
963,"['W', 'C', 'C']",Hypno Splash,160,Your opponent's Active Pokemon is now Asleep.,68af81eec4f780b5153e5d67
964,"['R', 'R']",Spicy Rage,10+,This attack does 70 more damage for each damage counter on this Pokemon.,68af81eec4f780b5153e5d6a
965,"['G', 'C', 'C']",Vengeful Crush,120+,This attack does 30 more damage for each Prize card your opponent has taken.,68af81eec4f780b5153e5d6d
966,"['C', 'C', 'C']",Blasting Wind,120,,68af81eec4f780b5153e5d70
967,"['C', 'C']",Lick Whip This attack does 30 damage to 1 of your opponent's Pokemon.,Don't apply Weakness and Resistance for Benched Pokemon.,,68af81eec4f780b5153e5d73
968,"['C', 'C']",Melting Sweetness,50,"During your opponent's next turn, the Defending Pokemon can't attack.",68af81eec4f780b5153e5d79
969,"['G', 'R']",Wild Tackle,130,This Pokemon also does 20 damage to itself.,68af81eec4f780b5153e5d79
970,['C'],Acidic Spit,20x,This attack does 20 damage for each damage counter on your opponent's Active Pokemon.,68af81eec4f780b5153e5d7c
971,"['G', 'R']",Speed Dive,70,,68af81eec4f780b5153e5d7c
972,"['M', 'C']",Steel Wing,50,"During your opponent's next turn, this Pokemon takes 30 less damage from attacks (after applying Weakness and Resistance).",68af81eec4f780b5153e5d7f
973,['F'],Slight Intrusion,30,This Pokemon also does 10 damage to itself.,68af81eec4f780b5153e5d85
974,['C'],"Screech During your next turn, the Defending Pokemon takes 50 more damage from attacks",after applying Weakness and Resistance,.,68af81eec4f780b5153e5d88
975,"['F', 'C']",Cutting Wind,50,,68af81eec4f780b5153e5d88
976,['F'],Headbutt,20,,68af81eec4f780b5153e5d8b
977,"['P', 'P']",Guardian Burst,160,"If you don't have Uxie and Azelf on your Bench, this attack does nothing.",68af81eec4f780b5153e5d8e
978,"['P', 'C']",Skill Dive This attack does 50 damage to 1 of your opponent's Pokemon.,Don't apply Weakness and Resistance for Benched Pokemon.,,68af81eec4f780b5153e5d91
979,"['P', 'P', 'C']",Jet Headbutt,110,,68af81eec4f780b5153e5d91
980,"['L', 'C']",Paralyzing Crackle,50,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed, and discard an Energy from that Pokemon.",68af81eec4f780b5153e5d94
981,"['W', 'C', 'C', 'C']",Dangerous Mouth,150,,68af81eec4f780b5153e5d97
982,"['W', 'C']",Big Bite,50,"During your opponent's next turn, the Defending Pokemon can't retreat.",68af81eec4f780b5153e5d9a
983,['W'],Powder Snow,10,Your opponent's Active Pokemon is now Asleep.,68af81eec4f780b5153e5d9d
984,"['R', 'R', 'C']",Black Blaze Slash,160,"During your next turn, this Pokemon can't attack.",68af81eec4f780b5153e5da3
985,['C'],Ram,10,,68af81eec4f780b5153e5da6
986,"['R', 'C']",Steady Firebreathing,20,,68af81eec4f780b5153e5da6
987,"['R', 'C']",Sunny Assist,50,Move all Energy from this Pokemon to 1 of your Benched Pokemon.,68af81eec4f780b5153e5da9
988,"['G', 'C']",Spiral Rush,60+,Flip a coin until you get tails. This attack does 30 more damage for each heads.,68af81eec4f780b5153e5dac
989,['G'],Cutting Wind,90,,68af81efc4f780b5153e5daf
990,"['C', 'C', 'C']",Hard Tackle,100,,68af81f0c4f780b5153e5e0f
991,"['C', 'C']",Precise Beak,30+,"If this Pokemon and your opponent's Active Pokemon have the same amount of Energy attached, this attack does 100 more damage.",68af81f0c4f780b5153e5e12
992,"['C', 'C', 'C', 'C']",Brave Bird,200,This Pokemon also does 30 damage to itself.,68af81f0c4f780b5153e5e12
993,"['C', 'C', 'C']",Break Through,130,This attack also does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.),68af81f0c4f780b5153e5e15
994,"['G', 'R', 'P']",Zircon Road,180,You may draw 5 cards.,68af81f0c4f780b5153e5e15
995,['C'],Incessant Incisors,30x,Flip 4 coins. This attack does 30 damage for each heads.,68af81f0c4f780b5153e5e18
996,['C'],Play Rough,10+,"Flip a coin. If heads, this attack does 10 more damage.",68af81f0c4f780b5153e5e1b
997,['C'],"Now You're in My Power Until the end of your next turn, the Defending Pokemon's Weakness is now Colorless.",The amount of Weakness doesn't change.,,68af81f0c4f780b5153e5e1e
998,"['C', 'C', 'C']",Smack,80,,68af81f0c4f780b5153e5e1e
999,"['C', 'C', 'C']",Electroslug,80,,68af81f0c4f780b5153e5e21
1000,['C'],Tiny Bolt,10,,68af81f0c4f780b5153e5e24
1001,"['C', 'C', 'C']",Reckless Charge,40,This Pokemon also does 10 damage to itself.,68af81f0c4f780b5153e5e24
1002,"['C', 'C', 'C']",Blasting Wind,120,,68af81f0c4f780b5153e5e27
1003,"['C', 'C']",Flap,30,,68af81f0c4f780b5153e5e2a
1004,"['C', 'C']",Ready to Ram,40,"During your opponent's next turn, if this Pokemon is damaged by an attack (even if it is Knocked Out), put 6 damage counters on the Attacking Pokemon.",68af81f0c4f780b5153e5e2d
1005,"['C', 'C', 'C', 'C']",Smashing Headbutt,150,Discard 2 Energy from this Pokemon.,68af81f0c4f780b5153e5e2d
1006,"['C', 'C']",Lick Whip This attack does 30 damage to 1 of your opponent's Pokemon.,Don't apply Weakness and Resistance for Benched Pokemon.,,68af81f0c4f780b5153e5e30
1007,['C'],Fury Cutter,10+,"Flip 3 coins. If 1 of them is heads, this attack does 20 more damage. If 2 of them are heads, this attack does 50 more damage. If all of them are heads, this attack does 80 more damage.",68af81f0c4f780b5153e5e33
1008,['C'],Disarming Voice,10,Your opponent's Active Pokemon is now Confused.,68af81f0c4f780b5153e5e36
1009,"['C', 'C']",Great Swing,280,Discard an Energy from this Pokemon.,68af81f0c4f780b5153e5e39
1010,"['C', 'C']",Slashing Claw,50,,68af81f0c4f780b5153e5e3c
1011,['C'],Spike Draw,20,Draw a card.,68af81f1c4f780b5153e5e42
1012,"['C', 'C', 'C']",Mega Punch,100,,68af81f1c4f780b5153e5e42
1013,"['C', 'C']",Reckless Charge,30,This Pokemon also does 10 damage to itself.,68af81f1c4f780b5153e5e45
1014,"['R', 'W']",Surprise Pump,100,This attack's damage isn't affected by any effects on your opponent's Active Pokemon.,68af81f1c4f780b5153e5e48
1015,['D'],Dyna-Blast,10+,"If your opponent's Active Pokemon is a Pokemon ex, this attack does 80 more damage.",68af81f1c4f780b5153e5e4b
1016,"['R', 'D', 'D']",World Ender,230,"Discard a Stadium in play. If you can't, this attack does nothing.",68af81f1c4f780b5153e5e4b
1017,"['C', 'C']",Melting Sweetness,50,"During your opponent's next turn, the Defending Pokemon can't attack.",68af81f1c4f780b5153e5e4e
1018,"['G', 'R']",Wild Tackle,130,This Pokemon also does 20 damage to itself.,68af81f1c4f780b5153e5e4e
1019,['C'],Acidic Spit,20x,This attack does 20 damage for each damage counter on your opponent's Active Pokemon.,68af81f1c4f780b5153e5e51
1020,"['G', 'R']",Speed Dive,70,,68af81f1c4f780b5153e5e51
1021,"['G', 'R']",Trip Over,20+,"Flip a coin. If heads, this attack does 30 more damage.",68af81f1c4f780b5153e5e54
1022,"['F', 'C', 'C']",Steaming Stomp,100,,68af81f1c4f780b5153e5e57
1023,"['G', 'W']",Space Crash,40x,This attack does 40 damage for each Basic Energy attached to this Pokemon.,68af81f1c4f780b5153e5e5a
1024,"['P', 'M', 'C']",Buster Tail,160,,68af81f1c4f780b5153e5e5d
1025,"['W', 'M']",Cotton Wings,100,"Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokemon by attacks.",68af81f1c4f780b5153e5e60
1026,"['G', 'W']",Tropical Frenzy,150,You may attach any number of Basic Energy cards from your hand to your Pokemon in any way you like.,68af81f1c4f780b5153e5e63
1027,"['M', 'C']",Deleting Slash,40+,"If your opponent has 3 or more Benched Pokemon, this attack does 80 more damage.",68af81f1c4f780b5153e5e66
1028,"['M', 'C', 'C']",Slicing Blade,100,,68af81f1c4f780b5153e5e66
1029,['M'],Strike It Rich,30+,"If this Pokemon evolved from Gimmighoul during this turn, this attack does 90 more damage.",68af81f1c4f780b5153e5e69
1030,"['C', 'C', 'C']",Surf Back,100,You may shuffle this Pokemon and all attached cards into your deck.,68af81f1c4f780b5153e5e69
1031,"['M', 'M', 'M']",Metal Defender,220,"During your opponent's next turn, this Pokemon has no Weakness.",68af81f1c4f780b5153e5e6c
1032,"['M', 'M']",Confront,50,,68af81f1c4f780b5153e5e6f
1033,"['M', 'M', 'M']",Duralubeam,130,Discard 2 Energy from this Pokemon.,68af81f1c4f780b5153e5e6f
1034,['C'],Hook,20,,68af81f1c4f780b5153e5e72
1035,"['M', 'C']",Spinning Attack,50,,68af81f1c4f780b5153e5e75
1036,"['M', 'C', 'C']",Double Impact,100x,Flip 2 coins. This attack does 100 damage for each heads.,68af81f1c4f780b5153e5e75
1037,"['M', 'C']",Shield Attack,20+,"Flip a coin. If heads, this attack does 20 more damage.",68af81f1c4f780b5153e5e78
1038,"['M', 'C']",Raging Hammer,60+,This attack does 10 more damage for each damage counter on this Pokemon.,68af81f1c4f780b5153e5e7b
1039,"['M', 'C']",Steel Wing,50,"During your opponent's next turn, this Pokemon takes 30 less damage from attacks (after applying Weakness and Resistance).",68af81f1c4f780b5153e5e7e
1040,"['D', 'D']",Energized Graffiti,40x,This attack does 40 damage for each Energy attached to all of your opponent's Pokemon.,68af81f1c4f780b5153e5e87
1041,['D'],Spray Fluid,20,,68af81f1c4f780b5153e5e8a
1042,"['D', 'C']",Crashing Headbutt,200,Discard the top 3 cards of your opponent's deck.,68af81f2c4f780b5153e5e8d
1043,"['P', 'D', 'M', 'C']",Obsidian,130,This attack also does 130 damage to 2 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.),68af81f2c4f780b5153e5e8d
1044,"['D', 'C', 'C']",Darkness Fang,60,,68af81f2c4f780b5153e5e90
1045,"['D', 'C']",Bite,20,,68af81f2c4f780b5153e5e93
1046,"['C', 'C']",Unrelenting Onslaught,30+,"If 1 of your other Ancient Pokemon used an attack during your last turn, this attack does 150 more damage.",68af81f2c4f780b5153e5e96
1047,"['F', 'F', 'C']",Hammer In,110,,68af81f2c4f780b5153e5e96
1048,['C'],Corrosive Shards,20,"Your opponent's Active Pokemon is now Poisoned. During your opponent's next turn, Energy cards can't be attached from your opponent's hand to that Pokemon.",68af81f2c4f780b5153e5e99
1049,"['F', 'C']",Rock Throw,60,,68af81f2c4f780b5153e5e99
1050,['F'],Rock Hurl,10,This attack's damage isn't affected by Resistance.,68af81f2c4f780b5153e5e9c
1051,['F'],Chop,40,,68af81f2c4f780b5153e5e9f
1052,"['F', 'F', 'C']",Raging Tentacles,130,"If this Pokemon has any damage counters on it, this attack can be used for Fighting.",68af81f2c4f780b5153e5e9f
1053,['F'],Slight Intrusion,30,This Pokemon also does 10 damage to itself.,68af81f2c4f780b5153e5ea2
1054,"['F', 'C']",Coordinated Throwing,20x,This attack does 20 damage for each of your Basic Pokemon in play.,68af81f2c4f780b5153e5ea5
